CMDLINE C:\Users\Firefly\GPU_Project\Anaconda\envs\rltest\python.exe gpu_RL.py
MEM 1158.988281 1623599072.3058
MEM 1158.988281 1623599072.4178
MEM 1158.988281 1623599072.5298
MEM 1158.988281 1623599072.6418
MEM 1158.988281 1623599072.7538
MEM 1158.988281 1623599072.8638
MEM 1158.988281 1623599072.9758
MEM 1158.988281 1623599073.0878
MEM 1158.988281 1623599073.1998
MEM 1158.988281 1623599073.3118
MEM 1158.988281 1623599073.4238
MEM 1158.988281 1623599073.5358
MEM 1158.988281 1623599073.6478
MEM 1158.988281 1623599073.7598
MEM 1158.988281 1623599073.8718
MEM 1158.988281 1623599073.9838
MEM 1158.988281 1623599074.0948
MEM 1158.988281 1623599074.2058
MEM 1158.988281 1623599074.3158
MEM 1158.988281 1623599074.4278
MEM 1158.988281 1623599074.5398
MEM 1158.988281 1623599074.6518
MEM 1158.988281 1623599074.7638
MEM 1158.988281 1623599074.8758
MEM 1158.988281 1623599074.9878
MEM 1158.988281 1623599075.0998
MEM 1158.988281 1623599075.2118
MEM 1158.988281 1623599075.3238
MEM 1158.988281 1623599075.4338
MEM 1158.988281 1623599075.5458
MEM 1159.109375 1623599075.6558
MEM 1159.109375 1623599075.7678
MEM 1159.109375 1623599075.8798
MEM 1159.109375 1623599075.9918
MEM 1159.109375 1623599076.1038
MEM 1159.109375 1623599076.2158
MEM 1159.109375 1623599076.3278
MEM 1159.109375 1623599076.4398
MEM 1159.109375 1623599076.5518
MEM 1159.109375 1623599076.6638
MEM 1159.109375 1623599076.7758
MEM 1159.109375 1623599076.8858
MEM 1159.109375 1623599076.9978
MEM 1159.109375 1623599077.1098
MEM 1159.109375 1623599077.2218
MEM 1159.109375 1623599077.3318
MEM 1159.109375 1623599077.4438
MEM 1159.109375 1623599077.5558
MEM 1159.109375 1623599077.6658
MEM 1159.109375 1623599077.7778
MEM 1159.109375 1623599077.8898
MEM 1159.109375 1623599078.0018
MEM 1159.109375 1623599078.1138
MEM 1159.109375 1623599078.2258
MEM 1159.109375 1623599078.3378
MEM 1159.109375 1623599078.4498
MEM 1159.109375 1623599078.5618
MEM 1159.109375 1623599078.6738
